CrimeDate,CrimeTime,CrimeCode,Location,Description,Weapon,Post,District,Neighborhood,Location 1,crimeCaseNumber
4/16/16,1127,1F,1500 WASHINGTON BLVD,HOMICIDE,FIREARM,935,SOUTHERN,Carroll Park,"(39.2790700000, -76.6374500000)",
4/12/16,242,1F,3200 DUDLEY AV,HOMICIDE,FIREARM,432,NORTHEASTERN,Belair-Edison,"(39.3240400000, -76.5660100000)",
4/12/16,2333,1F,3400 ROUND RD,HOMICIDE,FIREARM,922,SOUTHERN,Cherry Hill,"(39.2439400000, -76.6247000000)",
4/11/16,1856,1F,1500 PENNSYLVANIA AV,HOMICIDE,FIREARM,123,CENTRAL,Upton,"(39.3024100000, -76.6333000000)",
4/11/16,2105,1F,3800 HARLEM AV,HOMICIDE,FIREARM,844,SOUTHWESTERN,Edmondson Village,"(39.2951600000, -76.6803400000)",
4/8/16,1307,1F,3000 CHELSEA TER,HOMICIDE,FIREARM,642,NORTHWESTERN,Concerned Citizens Of Forest Park,"(39.3214600000, -76.6819900000)",
4/8/16,1344,1F,5400 NELSON AV,HOMICIDE,FIREARM,633,NORTHWESTERN,Arlington,"(39.3484000000, -76.6857700000)",
4/8/16,1455,1K,1400 AISQUITH ST,HOMICIDE,KNIFE,343,EASTERN,Oliver,"(39.3066100000, -76.6023500000)",
4/7/16,1724,1F,2100 W PRATT ST,HOMICIDE,FIREARM,841,SOUTHWESTERN,Carrollton Ridge,"(39.2850400000, -76.6500000000)",
4/6/16,344,1F,1000 HILLEN ST,HOMICIDE,FIREARM,312,EASTERN,Oldtown,"(39.2964700000, -76.6059900000)",
4/3/16,5,1F,2800 BOARMAN AV,HOMICIDE,FIREARM,613,NORTHWESTERN,Towanda-Grantley,"(39.3379100000, -76.6678400000)",
3/31/16,459,1F,1500 LAKESIDE AV,HOMICIDE,FIREARM,412,NORTHEASTERN,Ednor Gardens-Lakeside,"(39.3293400000, -76.5942000000)",
3/30/16,2329,1F,300 E 22 1/2 ST,HOMICIDE,FIREARM,341,EASTERN,Barclay,"(39.3144400000, -76.6124100000)",
3/29/16,1733,1F,1800 E LAFAYETTE AV,HOMICIDE,FIREARM,331,EASTERN,Broadway East,"(39.3107700000, -76.5928600000)",
